"#","Reference","Qty","Value","Footprint","DNP"
"1","Alim12V1","1","Screw_Terminal_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"2","BornierEnable1, BornierSignal1","2","Screw_Terminal_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"3","C1","1","0.1uF","Capacitor_SMD:C_1206_3216Metric",""
"4","F1","1","Fuse_Small","LM311P:Microfuse",""
"5","J1","1","Screw_Terminal_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"6","Pull-up1","1","20k","Resistor_SMD:R_1206_3216Metric",""
"7","R1","1","6.7k","Resistor_SMD:R_1206_3216Metric",""
"8","U1","1","LM311","LM311P:DIP794W45P254L959H508Q8",""
"9","U2","1","CD4051B","CD4051BE:DIP794W45P254L1969H508Q16",""
